City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
164,Husavik,IS,66.0449,-17.3389,30.11,86,100,5.01,overcast clouds
165,Saldanha,ZA,-33.0117,17.9442,62.6,95,96,13.49,overcast clouds
166,Hanumangarh,IN,29.5833,74.3167,60.3,50,0,7.11,clear sky
167,Sitka,US,57.0531,-135.33,35.49,87,90,4.61,light rain
168,Butaritari,KI,3.0707,172.7902,82.29,72,50,18.41,scattered clouds
169,Jumla,NP,29.2747,82.1838,37.4,36,0,4.38,clear sky
170,Asau,RO,46.4333,26.4,32.92,77,10,3.94,clear sky
171,Dossor,KZ,47.5272,52.9811,31.62,59,97,14.65,overcast clouds
172,Ambon,ID,-3.6954,128.1814,86.14,70,40,9.22,scattered clouds
173,Tazovskiy,RU,67.4667,78.7,1.06,96,100,6.76,overcast clouds
174,Port Elizabeth,ZA,-33.918,25.5701,61.09,77,0,5.75,clear sky
175,Pervomayskoye,RU,43.919,46.7102,42.57,94,100,5.01,overcast clouds
176,Olinda,BR,-8.0089,-34.8553,82.13,74,40,9.22,scattered clouds
177,Kieta,PG,-6.2167,155.6333,84.61,69,100,5.77,overcast clouds
178,Tiksi,RU,71.6872,128.8694,-7.64,96,100,6.82,overcast clouds
179,Puerto Escondido,MX,15.85,-97.0667,83.23,69,20,0.0,few clouds
180,Lagdo,CM,9.05,13.7333,74.77,23,36,2.75,scattered clouds
181,Kirillov,RU,59.863,38.3813,31.24,99,100,5.37,snow
182,Namatanai,PG,-3.6667,152.4333,84.56,68,95,2.59,light rain
183,Lagoa,PT,39.05,-27.9833,61.14,62,89,9.4,overcast clouds
184,Nanning,CN,22.8167,108.3167,63.59,53,25,3.36,scattered clouds
185,Khatanga,RU,71.9667,102.5,-8.36,93,100,13.15,overcast clouds
186,Burmakino,RU,57.4166,40.2369,33.37,93,90,8.95,light snow
187,Nishihara,JP,26.1842,127.7558,71.26,56,75,18.41,broken clouds
188,Terney,RU,45.0503,136.6092,32.0,53,0,8.32,clear sky
189,Saint-Philippe,RE,-21.3585,55.7679,76.59,83,80,5.12,light rain
190,Mindelo,CV,16.8901,-24.9804,74.75,69,40,23.02,scattered clouds
191,Kaitangata,NZ,-46.2817,169.8464,61.39,54,0,7.4,clear sky
192,Jalu,LY,29.0331,21.5482,69.35,39,32,2.93,scattered clouds
193,Inhambane,MZ,-23.865,35.3833,67.69,69,1,8.25,clear sky
194,Srednekolymsk,RU,67.45,153.6833,-38.4,100,39,2.51,scattered clouds
195,Kurilsk,RU,45.2333,147.8833,37.06,64,95,17.92,overcast clouds
196,Lavrentiya,RU,65.5833,-171.0,-10.7,94,6,7.7,clear sky
197,Atambua,ID,-9.1061,124.8925,84.51,62,94,1.03,overcast clouds
198,Faanui,PF,-16.4833,-151.75,81.37,73,17,17.85,few clouds
199,Disna,BY,55.568,28.1971,33.01,98,100,8.23,overcast clouds
200,Yulara,AU,-25.2406,130.9889,76.84,23,0,12.66,clear sky
201,San Vicente,AR,-26.6167,-54.1333,63.25,87,0,2.71,clear sky
202,Palana,RU,59.1167,159.9667,3.61,93,100,5.97,overcast clouds
203,San Quintin,MX,30.4833,-115.95,63.46,66,0,3.31,clear sky
204,Tarakeswar,IN,22.885,88.0172,69.66,77,59,5.3,broken clouds
205,Isangel,VU,-19.55,169.2667,86.11,70,75,11.5,broken clouds
206,Mahina,PF,-17.5065,-149.489,83.97,65,75,13.8,broken clouds
207,Fare,PF,-16.7,-151.0167,81.25,72,8,16.15,clear sky
208,Aripuana,BR,-9.1667,-60.6333,72.91,98,40,1.99,scattered clouds
209,Aviles,ES,43.5547,-5.9248,49.39,61,75,10.36,broken clouds
210,Bathsheba,BB,13.2167,-59.5167,81.21,78,40,14.97,scattered clouds
211,Klaksvik,FO,62.2266,-6.589,25.72,66,98,9.17,overcast clouds
212,Airai,TL,-8.9266,125.4092,73.33,61,100,0.96,overcast clouds
213,Vostok,RU,46.4856,135.8833,19.53,81,17,3.2,few clouds
214,Norman Wells,CA,65.282,-126.8329,-21.96,69,20,5.75,few clouds
215,Thunder Bay,CA,48.4001,-89.3168,28.62,89,100,6.13,overcast clouds
216,Surman,LY,32.7567,12.5716,65.14,43,100,3.29,overcast clouds
217,Noumea,NC,-22.2763,166.4572,78.78,79,100,15.75,overcast clouds
218,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,76,45,6.96,scattered clouds
219,Bemidji,US,47.4736,-94.8803,30.49,69,1,21.85,clear sky
220,Bandarbeyla,SO,9.4942,50.8122,78.1,80,81,14.94,broken clouds
221,Havre,FR,49.5833,0.3333,40.77,81,90,28.77,light rain
222,Millinocket,US,45.6573,-68.7098,26.71,68,90,12.66,overcast clouds
223,Keti Bandar,PK,24.1447,67.4497,73.13,67,0,6.87,clear sky
224,Atherton,GB,53.5237,-2.4935,33.35,62,93,9.89,overcast clouds
225,Carnarvon,AU,-24.8667,113.6333,100.47,10,0,12.66,clear sky
226,Krasnyy Kut,RU,50.95,46.9667,33.64,91,100,15.86,light rain
