City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
122,Nemuro,JP,2021-11-25 23:20:53,43.3236,145.575,36.28,61,1,19.91
123,Kang,BW,2021-11-25 23:20:53,-23.6752,22.7876,75.38,38,0,20.45
124,Hashtrud,IR,2021-11-25 23:20:54,37.4779,47.0508,35.73,81,100,3.8
125,Sola,VU,2021-11-25 23:20:55,-13.8833,167.55,83.07,79,75,5.75
126,Port Hardy,CA,2021-11-25 23:20:55,50.6996,-127.4199,48.38,87,90,3.44
127,Imbituba,BR,2021-11-25 23:18:58,-28.24,-48.6703,73.81,93,100,14.47
128,Kapaa,US,2021-11-25 23:20:56,22.0752,-159.319,82.72,71,40,1.01
129,Half Moon Bay,US,2021-11-25 23:19:07,37.4636,-122.4286,71.31,49,1,0.0
130,Okemos,US,2021-11-25 23:20:56,42.7223,-84.4275,38.52,90,90,5.01
131,Georgetown,MY,2021-11-25 23:20:57,5.4112,100.3354,76.95,94,20,0.0
132,Jamestown,US,2021-11-25 23:20:57,42.097,-79.2353,44.19,94,90,8.01
133,Narsaq,GL,2021-11-25 23:20:58,60.9167,-46.05,34.02,99,100,7.05
134,Castro,BR,2021-11-25 23:20:58,-24.7911,-50.0119,70.39,61,86,3.29
135,Bayburt,TR,2021-11-25 23:20:59,40.2589,40.2278,36.09,100,100,0.83
136,Sakhon Nakhon,TH,2021-11-25 23:20:59,17.1612,104.1472,61.27,87,61,3.06
137,Racine,US,2021-11-25 23:21:00,42.7495,-88.0751,30.42,77,100,7.0
138,Faya,SA,2021-11-25 23:22:00,18.3851,42.4509,55.51,78,26,1.77
139,Hella,NO,2021-11-25 23:22:01,67.2,14.4333,19.54,76,0,19.57
140,Hermanus,ZA,2021-11-25 23:22:01,-34.4187,19.2345,62.8,74,1,26.51
141,Luba,GQ,2021-11-25 23:22:01,3.4568,8.5547,80.15,82,23,6.76
142,Sungaipenuh,ID,2021-11-25 23:22:02,-2.0833,101.3833,62.62,77,95,3.4
143,Mnogovershinnyy,RU,2021-11-25 23:22:02,53.9353,139.9242,26.78,94,100,11.68
144,Santa Maria,BR,2021-11-25 23:22:03,-29.6842,-53.8069,72.7,88,40,5.75
145,The Valley,AI,2021-11-25 23:19:44,18.217,-63.0578,79.83,94,40,10.36
146,Gunjur,GM,2021-11-25 23:22:03,13.2019,-16.7339,78.87,94,0,4.61
147,Atambua,ID,2021-11-25 23:22:04,-9.1061,124.8925,78.8,78,75,1.61
148,Shimonoseki,JP,2021-11-25 23:22:04,33.95,130.95,50.29,59,3,5.79
149,Provideniya,RU,2021-11-25 23:22:05,64.3833,-173.3,3.31,60,20,6.71
150,Kodiak,US,2021-11-25 23:22:05,57.79,-152.4072,20.71,45,1,21.85
151,Bredasdorp,ZA,2021-11-25 23:22:06,-34.5322,20.0403,62.28,75,23,25.64
152,Torbay,CA,2021-11-25 23:22:06,47.6666,-52.7314,52.29,99,90,20.71
153,Burhaniye,TR,2021-11-25 23:22:07,39.5004,26.9727,42.71,93,0,3.44
154,Baykit,RU,2021-11-25 23:22:07,61.67,96.37,6.1,98,100,1.5
155,Saskylakh,RU,2021-11-25 23:22:08,71.9167,114.0833,-12.19,97,60,8.3
156,Ostrovnoy,RU,2021-11-25 23:22:08,68.0531,39.5131,22.51,63,100,6.91
157,Moletai,LT,2021-11-25 23:22:09,55.2333,25.4167,34.09,85,74,13.22
158,Tura,IN,2021-11-25 23:22:09,25.5198,90.2201,56.93,66,0,3.56
159,Okhotsk,RU,2021-11-25 23:22:10,59.3833,143.3,0.1,82,67,7.94
160,Bethel,US,2021-11-25 23:21:59,41.3712,-73.414,52.16,54,75,0.0
161,Samarai,PG,2021-11-25 23:22:10,-10.6167,150.6667,84.63,71,96,12.77
162,Tiksi,RU,2021-11-25 23:22:11,71.6872,128.8694,0.3,82,100,5.32
163,Ancud,CL,2021-11-25 23:22:11,-41.8697,-73.8203,53.13,72,98,7.14
164,Narok,KE,2021-11-25 23:22:12,-1.0783,35.8601,60.71,85,100,2.59
165,Caala,AO,2021-11-25 23:22:12,-12.8525,15.5606,60.49,87,97,3.27
166,Chichimila,MX,2021-11-25 23:22:13,20.6167,-88.2167,75.74,68,18,3.87
167,Portland,US,2021-11-25 23:22:13,45.5234,-122.6762,57.51,66,75,4.0
168,Mahebourg,MU,2021-11-25 23:22:14,-20.4081,57.7,75.49,83,40,3.44
169,Masuda,JP,2021-11-25 23:22:14,34.6667,131.85,53.87,54,20,11.5
170,Sena Madureira,BR,2021-11-25 23:22:15,-9.0656,-68.6569,81.68,64,100,2.04
171,Nongan,CN,2021-11-25 23:22:15,44.382,125.1685,16.21,96,75,3.33
172,Kabare,CD,2021-11-25 23:22:16,-2.4683,28.8242,61.16,98,100,3.09
173,Luderitz,NA,2021-11-25 23:22:16,-26.6481,15.1594,58.86,93,6,3.15
174,Bemidji,US,2021-11-25 23:22:16,47.4736,-94.8803,15.91,64,1,0.0
175,Yellowknife,CA,2021-11-25 23:22:17,62.456,-114.3525,11.41,91,90,1.01
176,Qaanaaq,GL,2021-11-25 23:22:17,77.484,-69.3632,-3.06,78,100,6.02
177,Hamilton,US,2021-11-25 23:20:13,39.1834,-84.5333,46.15,90,90,1.01
178,Ust-Nera,RU,2021-11-25 23:22:18,64.5667,143.2,-31.9,97,52,2.66
179,Touros,BR,2021-11-25 23:22:18,-5.1989,-35.4608,81.5,78,38,12.39
180,College,US,2021-11-25 23:22:19,64.8569,-147.8028,-3.78,69,90,0.0
181,Teahupoo,PF,2021-11-25 23:22:19,-17.8333,-149.2667,82.36,74,37,15.77
182,Codrington,AU,2021-11-25 23:22:20,-38.2667,141.9667,53.83,78,69,23.53
183,Vao,NC,2021-11-25 23:23:20,-22.6667,167.4833,75.47,84,33,15.99
184,Troitskoye,RU,2021-11-25 23:23:21,52.9821,84.6757,17.83,90,100,12.26
185,Tazovskiy,RU,2021-11-25 23:23:21,67.4667,78.7,-3.64,98,99,6.64
186,Ascension,US,2021-11-25 23:23:22,30.2169,-90.9001,71.6,96,90,4.61
187,Luocheng,CN,2021-11-25 23:23:22,29.3848,104.0286,53.08,83,100,2.46
188,Krasnyy Kut,RU,2021-11-25 23:23:23,50.95,46.9667,30.92,88,85,8.52
189,Ponta Do Sol,PT,2021-11-25 23:23:23,32.6667,-17.1,64.71,68,100,6.42
190,Moose Factory,CA,2021-11-25 23:23:23,51.2585,-80.6094,10.4,78,90,8.05
191,Gizo,SB,2021-11-25 23:23:24,-8.103,156.8419,83.98,70,80,2.15
192,Zhigansk,RU,2021-11-25 23:23:24,66.7697,123.3711,-5.51,96,100,14.99
193,Manokwari,ID,2021-11-25 23:23:25,-0.8667,134.0833,81.5,74,48,0.25
194,Tabory,RU,2021-11-25 23:23:25,58.5198,64.5495,8.38,95,93,5.82
195,Waipawa,NZ,2021-11-25 23:23:26,-41.4122,175.5153,63.23,48,84,22.68
196,Hami,CN,2021-11-25 23:23:26,42.8,93.45,26.62,61,0,3.44
197,Bay Roberts,CA,2021-11-25 23:23:26,47.5999,-53.2648,53.06,95,100,5.01
198,Mozarlandia,BR,2021-11-25 23:23:27,-14.7447,-50.5706,80.4,62,97,5.97
199,Amahai,ID,2021-11-25 23:23:27,-3.3333,128.9167,82.2,78,97,2.33
200,Asfi,MA,2021-11-25 23:23:28,32.2994,-9.2372,61.88,60,100,2.26
201,Esperance,AU,2021-11-25 23:23:28,-33.8667,121.9,60.64,70,83,9.01
202,Vladivostok,RU,2021-11-25 23:23:29,43.1056,131.8735,17.62,62,10,12.15
203,Doha,QA,2021-11-25 23:19:05,25.2867,51.5333,73.38,62,0,8.05
204,Hebi,CN,2021-11-25 23:23:30,35.8992,114.1925,42.13,48,0,5.08
205,Izumo,JP,2021-11-25 23:23:30,35.3667,132.7667,53.55,62,40,5.75
206,Gillette,US,2021-11-25 23:23:31,44.2911,-105.5022,49.12,38,1,4.61
207,Cherskiy,RU,2021-11-25 23:23:31,68.75,161.3,-26.63,100,100,4.07
208,Beira,MZ,2021-11-25 23:23:32,-19.8436,34.8389,77.22,63,72,13.09
209,Grindavik,IS,2021-11-25 23:23:32,63.8424,-22.4338,30.67,69,20,17.27
210,Alice Springs,AU,2021-11-25 23:20:21,-23.7,133.8833,67.55,64,90,12.66
211,Fare,PF,2021-11-25 23:23:33,-16.7,-151.0167,81.88,70,1,17.72
212,Bolobo,CD,2021-11-25 23:23:33,-2.1667,16.2333,71.31,94,99,2.08
213,Umm Kaddadah,SD,2021-11-25 23:23:34,13.6017,26.6876,67.21,16,0,12.97
214,Sao Joao Da Barra,BR,2021-11-25 23:23:34,-21.6403,-41.0511,72.86,79,2,11.88
215,Namatanai,PG,2021-11-25 23:23:12,-3.6667,152.4333,84.49,66,53,3.44
216,Kudahuvadhoo,MV,2021-11-25 23:23:35,2.6708,72.8944,80.83,71,91,15.84
217,Nizwa,OM,2021-11-25 23:23:35,22.9333,57.5333,70.02,55,1,1.66
218,Ribeira Grande,PT,2021-11-25 23:23:35,38.5167,-28.7,63.21,67,80,22.37
219,Riyadh,SA,2021-11-25 23:18:48,24.6877,46.7219,62.74,38,0,7.85
220,Hirara,JP,2021-11-25 23:23:36,24.8,125.2833,73.67,73,75,14.97
221,Kahului,US,2021-11-25 23:22:56,20.8947,-156.47,83.46,72,40,23.02
222,Lufilufi,WS,2021-11-25 23:23:37,-13.8745,-171.5986,91.18,75,30,15.12
223,Isangel,VU,2021-11-25 23:22:47,-19.55,169.2667,87.91,66,75,9.22
224,Herzberg,DE,2021-11-25 23:23:38,51.6869,13.2202,40.12,88,97,9.19
225,Kaitangata,NZ,2021-11-25 23:23:38,-46.2817,169.8464,57.07,69,100,2.59
226,Clyde River,CA,2021-11-25 23:23:38,70.4692,-68.5914,-0.92,99,100,3.47
227,Kawalu,ID,2021-11-25 23:23:39,-7.3817,108.2082,73.42,93,89,1.14
228,Klaksvik,FO,2021-11-25 23:23:39,62.2266,-6.589,36.52,71,85,38.12
229,Bloemfontein,ZA,2021-11-25 23:23:40,-29.1211,26.214,54.88,82,99,16.11
230,Arandis,NA,2021-11-25 23:24:40,-22.4167,14.9667,53.47,84,0,3.67
231,Bathsheba,BB,2021-11-25 23:24:41,13.2167,-59.5167,77.61,88,20,5.75
232,Talnakh,RU,2021-11-25 23:24:41,69.4865,88.3972,2.57,95,100,6.13
233,Luwuk,ID,2021-11-25 23:24:42,-0.9516,122.7875,80.31,81,99,1.03
234,Mikhaylovka,RU,2021-11-25 23:24:42,50.06,43.2379,31.69,90,14,7.02
235,Freeport,US,2021-11-25 23:24:42,40.6576,-73.5832,53.98,59,75,1.99
236,Arys,KZ,2021-11-25 23:24:43,42.4252,68.795,32.22,68,100,5.84
237,Dikson,RU,2021-11-25 23:24:43,73.5069,80.5464,-3.42,95,100,3.09
238,Alghero,IT,2021-11-25 23:24:44,40.5589,8.3181,51.89,93,40,1.14
239,Ola,RU,2021-11-25 23:21:22,59.5833,151.2833,-11.87,85,19,13.47
240,Pevek,RU,2021-11-25 23:24:44,69.7008,170.3133,-14.03,100,100,1.63
241,Ahipara,NZ,2021-11-25 23:24:45,-35.1667,173.1667,67.68,64,56,3.87
242,Ikongo,MG,2021-11-25 23:24:45,-21.8833,47.4333,65.8,98,100,2.77
243,Yarmouth,US,2021-11-25 23:24:46,41.7057,-70.2286,50.09,67,1,3.44
244,Andenes,NO,2021-11-25 23:24:46,69.3143,16.1194,26.58,80,90,11.5
245,Nishihara,JP,2021-11-25 23:24:46,26.1842,127.7558,69.08,64,75,12.66
246,Kangaatsiaq,GL,2021-11-25 23:24:47,68.3065,-53.4641,22.93,77,100,12.48
247,Taoudenni,ML,2021-11-25 23:21:08,22.6783,-3.9836,78.33,31,83,8.43
248,Morros,BR,2021-11-25 23:24:48,-9.4467,-46.3003,71.47,93,100,4.9
249,Tuktoyaktuk,CA,2021-11-25 23:24:48,69.4541,-133.0374,-0.4,78,40,16.11
250,Sembe,CG,2021-11-25 23:24:49,1.6481,14.5806,71.91,85,81,2.62
251,Northam,GB,2021-11-25 23:24:49,51.0333,-4.2167,45.61,74,100,15.7
252,Viedma,AR,2021-11-25 23:20:26,-40.8135,-62.9967,69.71,39,1,9.66
